 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 पारिशुद्धिं विगच्छतीत्यनेन कार्य[परि]निष्पत्तिराख्याता ॥	ཡོངས་སུ་དག་པ་རྟོག་པར་བྱེད་༎ ཅེས་གང་གསུངས་པ་དེས་ནི་དགོས་པ་ཡོངས་སུ་གྲུབ་པ་བསྟན་ཏོ་༎
 पुनरपि चोक्तं भगवता ॥	གཞན་ཡང་བཅོམ་ལྡན་འདས་ཀྱིས་།
 चित्तनिमित्तस्य कोविदः प्रविवेकस्य (प्राविवेक्यस्य?) च विदन्ते रसं । ध्यायी निपकः प्रतिस्मृतो	སེམས་ཀྱི་མཚན་མ་མཁས་པ་དང་༎ རབ་ཏུ་དབེན་པའི་ཉམས་ཐོབ་དང་༎ རྟག་འགྲུས་དྲན་ལྡན་བསམ་གཏན་པ་༎
 भुंक्ते प्रीतिसुखं निरामिषं [॥]	དགའ་བདེ་ཟང་ཟིང་མེད་པར་སྤྱོད་༎
 तत्र यत्तावदाह,	ཅེས་ཀྱང་གསུངས་ཏེ་། དེ་ལ་རེ་ཞིག་། 
 चित्तनिमित्तस्य कोविद इत्यनेन सविकल्पं निर्विकल्पं च प्रतिबिम्ब[ं] निमित्तशब्देनाख्यातं । वस्तुपपर्यन्तता कोविदशब्देन । यत्पुनराह ।	སེམས་ཀྱི་མཚན་མ་མཁས་པ་དང་༎ ཞེས་གང་གསུངས་པ་དེས་ནི་མཚན་མའི་སྒྲས་ནི་རྣམ་པར་རྟོག་པ་དང་བཅས་པའི་གཟུགས་བརྙན་དང་། རྣམ་པར་རྟོག་པ་མེད་པའི་གཟུགས་བརྙན་བསྟན་ལ་། མཁས་པའི་སྒྲས་ནི་དངོས་པོའི་མཐའ་བསྟན་ཏོ་༎
 प्राविवेक्यस्य च विदन्ते रसमित्यनेनालम्बने सम्यक्प्रयुक्तस्य प्रहाणारामता भावनारामता चाख्याता । यत्पुनराह ।	རབ་ཏུ་དབེན་པའི་ཉམས་ཐོབ་དང་༎ ཞེས་གང་གསུངས་པ་དེས་ནི་དམིགས་པ་ལ་ཡང་དག་པ་ཉིད་དུ་གཏོད་པར་བྱེད་པའི་སྤོང་བ་ལ་དགའ་བ་ཉིད་དང་། བསྒོམ་པ་ལ་དགའ་བ་ཉིད་བསྟན་ཏོ་༎
 ध्यायी निपक[ः] प्रतिस्मृत इत्यनेन शमथविपश्यनाया भावनासातत्यमाख्यातम् ॥ यत्पुनराह ।	རྟག་འགྲུས་དྲན་ལྡན་བསམ་༄༧༩ཨ་༌་༎ གཏན་པ་། ཞེས་གང་གསུངས་པ་དེས་ནི་ཞི་གནས་དང་། ལྷག་མཐོང་གི་བསྒོམ་པ་རྟག་ཏུ་བྱེད་པ་བསྟན་ཏོ་༎
 भुंक्ते प्रीतिसुखं निरामिषमित्यनेन कायपरिनिष्पत्तिराख्याता ॥	དགའ་བདེ་ཟང་ཟིང་མིད་པ་སྤྱོད་༎ ཅེས་གང་གསུངས་པ་དེས་ནི་དགོས་པ་ཡོངས་སུ་གྲུབ་པ་བསྟན་ཏོ་༎
 तदेवं सत्येतद्व्याप्यालम्बनमाप्तागमविशुद्धं (श्भ्_स्ह्: २०२) वेदितव्यं ॥ युक्तिपतितं च ।	དེའི་ཕྱིར་དེ་ལྟར་ན་ཁྱབ་པའི་དམིགས་པ་དེ་ནི་ཡིད་ཆེས་པའི་ལུང་གི་དག་པ་དང་། རིགས་པ་དང་ལྡན་པ་ཡིན་པར་རིག་པར་བྱ་སྟེ་།
 इदमुच्यते व्याप्यालम्बनं ॥	དེ་ནི་ཁྱབ་པའི་དམིགས་པ་ཞེས་བྱའོ་༎
 तत्र चरितविशोधनमालम्बनं कतमत् ॥	དེ་ལ་སྤྱད་པ་རྣམ་པར་སྦྱོང་བའི་དམིགས་པ་གང་ཞེ་ན་།
 तद्यथा अशुभा [। ] मैत्री ।	འདི་ལྟ་སྟེ་།
 इदं प्रत्ययताप्रतीत्यसमुत्पादः । धातुप्रभेदः । आनापानस्मृतिश्च ।	མི་སྡུག་པ་དང་། བྱམས་པ་དང་། རྐྱེན་འདི་པ་ཉིད་ཀྱི་རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་དང་། ཁམས་རབ་ཏུ་དབྱེ་བ་དང་། དབུགས་རྔུབ་པ་དང་། དབུགས་འབྱུང་བ་དྲན་པའོ་༎
 तत्राशुभा कतमा ।	དེ་ལ་མི་སྡུག་པ་གང་ཞེ་ན་།
 आह [।	སྨྲས་པ་།
 ] षडविधा अशुभा ।	མི་སྡུག་པ་ནི་རྣམ་པ་དྲུག་སྟེ་། དྲུག་གང་ཞེ་ན་།
 तद्यथा प्रत्यशुभता । दुःखाशुभता । अवराशुभता ।	འདི་ལྟ་སྟེ་།
 आपेक्षिकी अशुभता । क्लेशाशुभता । प्रभंगुराशुभता च ।	མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་དང་། སྡུག་བསྔལ་གྱི་མི་སྡུག་པ་ཉིད་དང་། ངན་པའི་མི་སྡུག་པ་ཉིད་དང་། ལྟོས་པའི་མི་སྡུག་པ་ཉིད་དང་། ཉོན་མོངས་པའི་མི་སྡུག་པ་ཉིད་དང་། རབ་ཏུ་འཇིག་པའི་མི་སྡུག་པ་ཉིད་དོ་༎
 (श्भ्_स्ह्: २०३) तत्र प्रत्यशुभता कतमा ।	དེ་ལ་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་གང་ཞེ་ན་།
 आह ।	སྨྲས་པ་།
 प्रत्यशुभता अध्यात्मं चोपादाय, बहिर्धा चोपादाय वेदितव्या ॥	མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་ཀྱང་རྣམ་པ་གཉིས་ཏེ་།
 तत्राध्यात्ममुपादाय ।	ནང་ལ་བརྟེན་པ་དང་། ཕྱི་རོལ་ལ་བརྟེན་པ་ཡིན་པར་རིག་པར་བྱའོ་༎ དེ་ལ་ནང་ལ་བརྟེན་པའི་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་གང་ཞེ་ན་།
 तद्यथा- केशा, रोमाणि, नखा, दन्ता, रजो, मलं,	འདི་ལྟ་སྟེ་།
 त्वङ्मान्स(मांस) मस्थि, स्नायु[ः], सिरा, वृक्का (क्कं) , हृदयं, प्लीहकं, क्लोमं, अन्त्रान्यण्त्रगुणा, आमाशयं (यः) , पक्वाशयं(यः) , मूत्रं, पुरीषमश्रु, स्वेदः, खेटा, शिंघाणकं, वसा, लसीका, मज्जामेदः, पित्तं, श्लेष्मा, पूयः, शोणितमस्तकं, मस्तकलुंगं, प्रस्रावः ।	སྒྲ་དང་། སྤུ་དང་། སེན་མོ་དང་། སོ་དང་། གློག་པ་དང་། དྲི་མ་དང་། པགས་པ་དང་། ཤ་དང་། རུས་པ་དང་། ཆུ་རྒྱུས་དང་། རྩ་དང་། མཁལ་མ་དང་། སྙིང་དང་༏་མཆིན་པ་དང་། གློ་བ་དང་། རྒྱུ་མ་དང་། གཉེ་མ་དང་། ཕོ་བ་དང་། ལོང་ཀ་དང་། མཆེར་བ་དང་། ཕྱི་ས་དང་། མཆི་མ་དང་། རྡུལ་དང་། མཆིལ་མ་དང་། སྣབས་དང་། ཞག་དང་། ཆུ་སར་དང་། རྐང་དང་ཚིལ་དང་མཁྲིས་པ་དང་། བད་ཀན་དང་། རྣག་དང་། ཁྲག་དང་། གླད་སྤྲི་དང་། གླད་རྒྱས་དང་། གཅིན་དང་། དེ་ལྟ་བུ་དང་མཐུན་པ་དག་ནི་ནང་ལ་བརྟེན་པའི་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་ཡིན་པར་རིག་པར་བྱའོ་། 
 तत्र बहिर्धा चोपादाय अशुभा (अशुभता) कतमा ।	དེ་ལ་ཕྱི་རོལ་ལ་བརྟེན་པའི་མི་གཙང་བའི་མི་སྡིག་པ་ཉིད་གང་ཞེ་ན་། 
 तद्यथा विनीलकम्बा, विपूयकम्वा, विभद्रात्मकम्वा, व्याध्मात्म(त) कम्वा, विखादित(क)म्वा । विलोहितकम्वा । विक्षिप्तकम्वा । अस्थि वा । शंकलिकां (का) वा । उच्चारकृतम्वा, प्रस्रावकृतम्वा, खेटाकृतम्वा,	འདི་ལྟ་སྟེ་།
 शिंघाणककृतम्वा, रुधिरम्रक्षितम्वा, पूयम्रक्षितम्वा, गूथकठिल्लम्वा, स्यन्दनिका वा । इत्येवं भागीया बहिर्धोपादाय प्रत्यशुभता वेदितव्या । (श्भ्_स्ह्: २०४) या चाध्यात्ममुपादाय ।	རྣམ་པར་བསྡོས་པ་དང་། རྣམ་པར་རྣགས་༄༧༩བ་པ་དང་། རྣམ་པར་འབུས་གཞིགས་པ་དང་། རྣམ་པར་བམ་པ་དང་། རྣམ་པར་ཟོས་པ་དང་། རྣམ་པར་དམར་བ་དང་། རྣམ་པར་འཐོར་བ་དང་། རུས་གོང་དང་། ཀེང་རུས་དང་། རུས་པའི་ཀེང་རུས་དང་། བཤང་བས་གོས་པ་དང་། གཅིངས་?་གོས་པ་དང་། མཆིལ་མས་གོས་པ་དང་༏་སྣབས་ཀྱིས་གོས་པ་དང་། ཁྲག་གིས་གོས་པ་དང་། རྣག་གིས་གོས་པ་དང་། ཆབ་ཁྲུང་དང་། ལྗན་ལྗིན་དང་། དེ་ལྟ་བུ་དང་མཐུན་པ་དག་ནི་ཕྱི་རོལ་ལ་བརྟེན་པའི་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་ཡིན་པར་རིག་པར་བྱ་སྟེ་།
 या च बहिर्धोपादायाशुभता । इयमुच्यते । प्रत्यशुभता ।	ནང་ལ་བརྟེན་པའི་མི་སྡུག་པ་ཉིད་གང་ཡིན་པ་དང་། ཕྱི་རོལ་ལ་བརྟེན་པའི་མི་སྡུག་པ་ཉིད་གང་ཡིན་པ་དེ་ནི་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་ཅེས་བྱའོ་༎ 
 तत्र दुःखाशुभता कतमा ।	དེ་ལ་སྡུག་བསྔལ་གྱི་མི་སྡུག་པ་ཉིད་གང་ཞེ་ན་།
 यद्दुःखवेदनीयं स्पर्शं प्रतीत्योत्पद्यते । कायिकचैतसिकमसातं वेदयितं वेदनागत मियमुच्यते ।	སྡུག་བསྔལ་གྱི་ཚོར་བ་འབྱུང་བར་འགྱུར་བའི་རིག་པ་ལ་བརྟེན་ཏེ་བྱུང་བའི་ཚོར་བའི་རྣམ་པ་ལུས་དང་སེམས་ཀྱི་ཚོར་བས་སྡུག་བསྔལ་བ་གང་ཡིན་པ་སྟེ་། 
 दुःखाशुभता ।	དེ་ནི་སྡུག་བསྔལ་གྱི་མི་སྡུག་པ་ཉིད་ཅེས་བྱའོ་༎
 तत्रावराशुभता कतमा ।	དེ་ལ་ངན་པའི་མི་སྡུག་པ་ཉིད་གང་ཞེ་ན་།
 यत्सर्वनिहीनम्वस्तु,	ཐམས་ཅད་ཤིན་ཏུ་དམན་པའི་གཞི་དང་། ཐམས་ཅད་ཤིན་ཏུ་དམན་པའི་ཁམས་གང་ཡིན་པ་སྟེ་།
 सर्वनिहीनो धातुस्तद्यथा कामधातुः, यस्मात्पुनर्हीनतरश्चावरतरश्च,	འདི་ལྟ་སྟེ་། འདོད་པའི་ཁམས་ལྟ་བུ་སྟེ་།
 प्रतिक्रुष्टतरश्चासौ धातुर्नास्ति ।	དེ་བས་ཀྱང་ཤིང་ཏུ་དམན་པ་དང་། ཤིན་ཏུ་ངན་པ་དང་། ཤིན་ཏུ་ཐ་ཆད་ཡིན་པའི་ཁམས་གཞན་མེད་པས་།
 इयमुच्यते अवराशुभता ।	དེ་ནི་ངན་པའི་མི་སྡུག་པ་ཉིད་ཅེས་བྱའོ་༎
 आपेक्षिकी अशुभता कतमा ।	དེ་ལ་ལྟོས་པའི་མི་སྡུག་པ་ཉིད་གང་ཞེ་ན་།
 तद्यथा तदेकत्यम्वस्तु शुभमपि सदन्यच्छुभतरमपेक्ष्याशुभतः ख्याति । तद्यथा ।	འདི་ལྟ་སྟེ་། དེའི་དངོས་པོ་འགའ་ཞིག་སྡུག་པ་ཡིན་ཡང་དེ་ལས་གཞན་པའི་ཤིན་ཏུ་སྡུག་པ་དག་ལ་ལྟོས་ན་མི་སྡུག་པ་ཉིད་དུ་སྣང་སྟེ་༏་འདི་ལྟར་གཟུགས་མེད་པ་དག་ལ་ལྟོས་ནས་།
 आरूप्यानपेक्ष्य रूपधातुरशुभतः ख्याति । सत्कायनिरोधनिर्वाणमपेक्ष्य यावद्भवाग्रमशुभश्च (भ इति) संख्यां गच्छति ।	གཟུགས་ཀྱི་ཁམས་མི་སྡུག་པ་ཉིད་དུ་སྣང་བ་དང་། འཇིག་ཚོགས་འགོག་པའི་མྱ་ངན་ལས་འདས་པ་ལ་ལྟོས་ན་སྲིད་པའི་རྩེ་མོ་མན་ཆད་ཀྱང་མི་སྡུག་པ་ཉིད་ཀྱི་གྲངས་སུ་འགྲོ་བ་དང་། དེ་ལྟ་བུ་དང་མཐུན་པ་དག་ནི་ལྟོས་པའི་མི་སྡུག་པ་ཉིད་ཅེས་བྱའོ་༎
 इयमेवं भागीयापेक्षिकी अशुभता [।]	དེ་ལ་ཉོན་མོངས་པའི་མི་སྡུག་པ་ཉིད་གང་ཞེ་ན་།
 त्रैधातुकावचराणि (। ) सर्वाणि संयोजनबन्धना[न्य]नुशयोपक्लेशाशुभतेत्युच्यते (-शा अशुभतेत्युच्यते) ॥	ཁམས་གསུམ་ན་སྤྱོད་པའི་ཀུན་ཏུ་སྦྱོར་བ་དང་། འཆིང་བ་དང་། བག་ལ་ཉལ་དང་། ཉ་བའི་ཉོན་མོངས་པ་དང་། ཀུན་ནས་དཀྲིས་པ་ཐམས་ཅད་དུ་འགྲོ་བ་དག་སྟེ་། དེ་ནི་ཉོན་མོངས་པའི་མི་སྡུག་པ་ཉིད་ཅེས་བྱའོ་༎
 तत्र प्रभंगुराशुभता कतमा ।	དེ་༄༨༠ཨ་༌་༎ ལ་རབ་ཏུ་འཇིགས་པའི་མི་སྡུག་བ་ཉིད་གང་ཞེ་ན་།
 या पंचानामुपादानस्कन्धानामनित्यता, अध्रुवानाश्वासिकता, विपरिणामधर्मता इतीयमशुभता रागचरितस्य विशुद्धये ।	ཉ་བར་ལེན་པའི་ཕུང་པོ་ལྔ་དག་གི་མི་རྟག་པ་ཉིད་དང་། མི་བརྟན་པ་ཉིད་དང་། ཡིད་བརྟན་དུ་མི་རུང་བ་ཉིད་དང་། རྣམ་པར་འགྱུར་བའི་ཆོས་ཉིད་གང་ཡིན་པ་དེ་ནི་རབ་ཏུ་འཇིག་པའི་མི་སྡུག་པ་ཉིད་ཅེས་བྱ་སྟེ་། མི་སྡུག་པ་དེ་དག་ནི་འདོད་ཆགས་སྤྱད་པའི་རྣམ་པར་སྦྱོར་བའི་དམིགས་པ་ཡིན་བྱ་སྟེ་། ནོ་༎ 
 आलम्बनं तत्र रागस्तद्यथा । अध्यात्मं कामेषु (श्भ्_स्ह्: २०५) कामछन्दः (च्छन्दः) , कामरागः, बहिर्धा कामेषु मैथुनछन्दः (च्छन्दः) , मैथुनरागः । विषयछन्दः (च्छन्दः) ।	དེ་ལ་འདོད་ཆགས་གང་ཞེ་ན་།
 विषयरागः ।	འདོད་ཆགས་ནི་རྣམ་པ་ལྔ་སྟེ་། འདི་ལྟ་སྟེ་།
 रूपछन्दो (च्छन्दो) रूपरागः सत्कायछ(च्छ) न्दः सत्कायरागश्चेति । अयं पञ्चविधो रागः ।	ནང་གི་འདོད་པ་རྣམས་ཀྱིས་འདོད་པ་ལ་འདུན་པ་འདོད་པའི་འདོད་ཆགས་དང་། ཕྱི་རོལ་གྱི་འདོད་པ་རྣམས་ཀྱིས་འཁྲིག་པ་ལ་འདུན་པ་འཁྲིག་པའི་འདོད་ཆགས་དང་། ཡུལ་ལ་འདུན་པ་ཡུལ་གྱི་འདོད་ཆགས་དང་། གཟུགས་ལ་འདུན་པ་གཟུགས་ཀྱི་འདོད་ཆགས་དང་། འཇིག་ཚོགས་ལ་འདུན་པ་འཇིག་ཚོགས་ཀྱི་འདོད་ཆགས་སོ་༎
 तस्य पञ्चविधस्य रागस्य प्रहाणाय, प्रतिविनोदनाय । असमुदाचाराय ।	འདོད་ཆགས་རྣམ་པ་ལྔ་པོ་དེ་དག་སྤང་བ་དང་། བསལ་བ་དང་། ཀུན་མི་འབྱུང་བར་བྱ་བའི་ཕྱིར་།
 षड्विधा अशुभता आलम्बनं ।	མི་སྡུག་པ་རྣམ་པ་དྲུག་པ་དམིགས་ཏེ་།
 तत्राध्यात्ममुपादाय ।	དེ་ལ་ནང་ལ་བརྟེན་པའི་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་ལ་དམིགས་པས་ནི་།
 प्रत्यशुभतालम्बनेन अध्यात्मं कामेषु काम[च्]छन्दात् कामरागाच्चित्तम्विशोधयति ।	ནང་གི་འདོད་པ་རྣམས་ཀྱི་འདོད་པ་ལ་འདུན་པའི་འདོད་པའི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་སྦྱོང་བར་བྱེད་དོ་༎ དེ་ལ་ཕྱི་རོལ་ལ་བརྟེན་པའི་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་ལ་དམིགས་བར་བྱེད་དོ་༎ པས་ནི་། ཕྱི་རོལ་གྱི་འདོད་པ་རྣམས་ཀྱིས་འཁྲིག་པ་ལ་འདུན་པ་།
 बहिर्धोपादाय प्रत्यशुभतालम्बनेन बहिर्धा तैः रागाच्चतुर्विधा[द्] रागप्रतिसंयुक्ताद्वर्णरागसंस्थानरागस्पर्शरागोपचाररागप्रतिसंयुक्ताच्चित्तं विशोधयति । तत्र यदा विनीलकम्वा, विपूयकम्वा, विमद्रामकम्वा, व्याध्मात्मकम्वा,	འཁྲིག་པའི་འདོད་ཆགས་རྣམ་པ་བཞི་དང་ལྡན་པ་། ཁ་དོག་གི་འདོད་ཆགས་དང་། དབྱིབས་ཀྱི་འདོད་ཆགས་དང་། རེག་པའི་འདོད་ཆགས་དང་། ཉེ་བར་སྤྱོད་པའི་འདོད་ཆགས་དང་ལྡན་པ་ལས་སེམས་རྣམ་པར་སྦྱོང་བར་བྱེད་དེ་།
 विखादितकं वा मनसि करोति ।	དེ་ལ་གང་གི་ཚེ་རྣམ་པར་བསྔོས་པ་དང་། རྣམ་པར་རྣགས་པ་དང་། རྣམ་པར་འབུས་གཞིགས་པ་དང་། རྣམ་པར་བམ་པ་དང་། རྣམ་པར་ཟོས་པ་ཡིད་ལ་བྱེད་པ་དེའི་ཚེ་ནི་།
 तदा वर्णरागाच्चित्तं विशोधयति ।	ཁ་དོག་གི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་སྦྱོང་བར་བྱེད་དོ་༎
 यदा पुनर्विलोहितकं वा मनसि करोति ।	དགང་གི་ཚེ་རྣམ་པར་དམར་བ་ཡིད་ལ་བྱེད་པ་དེའི་ཚེ་ན་།
 तदा संस्थानरागाच्चित्तं विशोधयति ।	དབྱིབས་ཀྱི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་སྦྱོང་བར་བྱེད་དོ་༎
 यदा पुनरस्थि वा शंकलिकाम्वा मनसि करोति । तदा स्पर्शरागाच्चित्तं विशोधयति ।	གང་གི་ཚེ་རུས་གོང་དང་། ཀེང་རུས་དང་། རུས་པའི་ཀེང་རུས་ཡིད་ལ་བྱེད་པ་དེའི་ཚེ་ན་རེག་པའི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་སྦྱོར་བར་བྱེད་དོ་༎ 
 यदा विक्षिप्तकं मनसिकरोति तदा उपचाररागाच्चित्तं विशोधयति ।	གང་གི་ཚེ་རྣམ་༄༨༠བ་པར་འཐོར་བ་ཡིད་ལ་བྱེད་པ་དེའི་ཚེ་ནི་། ཉེ་བར་སྤྱོད་པའི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་སྦྱོང་བར་བྱེད་དེ་། དེ་ལྟར་ན་འཁྲིག་པའི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་སྦྱོང་བར་བྱེད་པ་ཡིན་ནོ་༎ དེ་ལྟ་བས་ན་བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་།
 अतएव भगवता बहिर्धोपादाय प्रत्यशुभता सा चतसृषु शिव पथिका[सु व्य]वस्थापिता । (श्भ्_स्ह्: २०६) या यैवानेन शिवपथिका दृष्टा भवति ।	ཕྱི་རོལ་ལ་བརྟེན་པའི་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་གང་ཡིན་པ་དེ་ནི་། དུར་ཁྲོད་པ་རྣམ་པ་བཞིར་རྣམ་པར་གཞག་སྟེ་། དེས་ཤི་ནས་ཞག་གཅིག་ལོན་པའམ་།
 एकाहमृता वा,	ཤི་ནས་ཞག་གཉིས་ལོན་པའམ་།
 सप्ताहमृता वा,	ཤི་ནས་ཞག་གསུམ་ལོན་པའམ་།
 काकैः कुररैः खाद्यमाना, गृध्रैः, श्वभिः, श्रृगालैः । तत्र तत्रेममेच (व) कायमुपसंहरति ।	ཤི་ནས་ཞག་བདུན་ལོན་པའི་བར་གྱི་དུར་ཁྲོད་གང་དག་བྱ་རོག་དང་། ཆུན་ལག་དང་། བྱ་རྒོད་དང་། ཁྱི་དང་ཝ་དག་གིས་ཟོས་པ་དེ་མཐོང་ན་།
 अयमपि मे काय एवं भावी,	བདག་གི་ལུས་འདི་ཡང་འདི་ལྟ་བུར་འགྱུར་ཞིང་།
 एवं भूत,	འདི་ལྟ་བུར་གྱུར་པ་སྟེ་།
 एवं धर्मतामनतीत इति ।	ཆོས་ཉིད་འདི་ལས་མ་འདས་པ་ཡིན་ནོ་སྙམ་དུ་། དེ་དག་དང་ལུས་འདི་ཉིད་ཉེ་བར་སྦྱོར་བར་བྱེད་དོ་ཞེས་གསུངས་པ་དེ་ནི་།
 अनेन तावद्विनी लकमुपादाय यावद्विखादितकमाख्यातं । यत्पुनराह । या अनेन शिवपथिका दृष्टा भवति ।	རྣམ་པར་བསྔོས་པ་དང་། རྣམ་པར་ཟོས་པའི་བར་དག་བསྟན་ཏོ་༎
 अपगतत्वङ्मान्स(मांस) शोणितम्वा सूपनिबद्धेत्यनेन विलोहितकमाख्यातं । यत्पुनराह ।	དེས་པ་གས་པ་དང་། ཤ་དང་། ཁྲག་དང་། ཆུ་རྒྱུས་ཀྱི་ཟུངས་དང་བྲལ་བའི་དུར་ཁྲོད་གང་དག་མ་ཐོང་ན་ཞེས་གང་གསུངས་པ་དེས་ནི་རྣམ་པར་དམར་པ་བསྟན་ཏོ་༎ དེས་དུར་ཁྲོད་ཀྱི་རུས་བ་གང་དག་མཐོང་ན་ཞེས་གང་གསུངས་པ་དེས་ནི་རུས་གོང་དང་། ཀེང་རུས་དང་། རུས་པའི་ཀེང་རུས་བསྟན་ཏོ་༎ དེས་ལག་པའི་རུས་པ་དག་ཀྱང་ལོགས་ཤིག་། རྐང་པའི་རུས་པ་དག་ཀྱང་ལོགས་ཤིག་། 
 यान्येव शिवपथिकास्थानानि पृष्ठीवंशो,	ལོང་བུའི་རུས་པ་དག་ཀྱང་ལོགས་ཤིག་བུས་མོའི་རུས་པ་དག་ཀྱང་ལོགས་ཤིག་ལ་།
 हनुनक्रं, दन्तमाला, शिरःकपालं तथा भिन्नप्रतिभिन्नानि एकवार्षिकानि द्विवार्षिकानि (र्षिकाणि) ।	རྩིབ་ལོགས་ཀྱི་རུས་པ་དག་དང་། དབུང་བའི་རུས་པ་དག་དང་། ལག་ངར་གྱི་རུས་པ་དག་དང་། སྒལ་ཚིགས་དང་། འགྲམ་སང་དང་། སོ་རྒྱུན་དང་། མགོ་ཐོད་དག་ཀྱང་སོ་སོར་འཐོར་བའི་དུར་ཁྲོད་གང་དག་མཐོང་ཞིང་། དེ་བཞིན་དུ་ལོ་གཅིག་གམ་། ལོ་གཉིས་སམ་།
 यावत्सप्तवाषि(र्षि) कानि (णि)	ལོ་གསུམ་མམ་།
 श्वेतानि शंखनिभानि ।	ལོ་བདུན་གྱི་བར་ཙམ་ལོན་པའི་རུས་པ་དུང་ལྟར་དཀར་བའམ་།
 कपोतवर्णानि पान्सु(पांसु) वर्णव्यतिमिश्राणि दृष्टानि भवन्तीत्यनेन विक्षिप्तकमाख्यातं ।	ཐི་བའི་མདོག་འདྲ་བས་རྡུལ་གྱི་ཕྱེ་མ་དང་འདྲེས་པ་དག་མཐོང་ན་ཞེས་གང་གསུངས་པ་དེས་ནི་རྣམ་པར་འཐོར་བ་བསྟན་ཏེ་།
 एवं प्रत्यशुभतालंबनेन बहिर्धा प्रतिसंयुक्तेन मैत्रेन (ण)	དེ་ལྟར་ན་ཕྱི་ལ་བརྟེན་པའི་མི་གཙང་བའི་མི་སྡུག་པ་ཉིད་ལ་དམིགས་པས་ནི་།
 रागाच्चित्तं विशोधयति ।	འཁྲིག་པའི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་༄༨༡ཨ་༌་༎ སྦྱོང་བར་བྱེད་དོ་༎
 तत्र दुःखताशुभतालम्बनेनावराशुभतालम्बनेन च । विषयप्रतिसंयुक्तात्कामरागाच्चित्तं विशोधयति ।	དེ་ལ་སྡུག་བསྔལ་གྱི་མི་སྡུག་པ་ཉིད་ལ་དམིགས་པ་དང་། ངན་པའི་མི་སྡུག་པ་ཉིད་ལ་དམིགས་པས་ནི་ཡུལ་ལ་འདུན་བ་ཡུལ་གྱི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་སྦྱོང་བར་བྱེད་དོ་༎
 तत्रापेक्षाशुभतालम्बनेन रूपरागाच्चित्तं विशोधयति ।	དེ་ལ་ལྟོས་པའི་མི་སྡུག་པ་ཉིད་ལ་དམིགས་པས་ནི་། གཟུགས་ལ་འདུན་པ་གཟུགས་ཀྱི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་གྲོལ་བར་བྱེད་དོ་༎
 तत्र क्लेशाशुभतालम्बनेन प्रभंगुराशुभतालम्बनेन च का[म]भवाग्रमुपादाय (श्भ्_स्ह्: २०७) सर्वस्मात्काय(म) रागाच्चित्तं विशोधयति ।	དེ་ལ་ཉོན་མོངས་པའི་མི་སྡུག་པ་ཉིད་ལ་དམིགས་པ་དང་། རབ་ཏུ་འཇིག་པའི་མི་སྡུག་པ་ཉིད་ལ་དམིགས་པས་ནི་སྲིད་པའི་རྩེ་མོ་མན་ཆད་ཀྱི་འཇིག་ཚོགས་ལ་འདུན་པའི་འཇིག་ཚོགས་ཀྱི་འདོད་ཆགས་ལས་སེམས་རྣམ་པར་སྦྱོང་བར་བྱེད་དོ་༎
 इदं तावद्रागचरितस्य चरितविशोधनेन सालम्बनं संभवं प्रत्येतदुच्यते ।	དེ་ནི་རེ་ཞིག་འདོད་ཆགས་སྤྱད་པའི་སྤྱད་པ་རྣམ་པར་སྦྱོང་བའི་དམིགས་པ་ཡིན་ནོ་༎
 सर्वं सर्वाकारमशुभतालम्बनं ।	དམིགས་པ་མ་སྡུག་པ་སྲིད་དོ་ཅོག་གི་ཐམས་ཅད་རྣམ་པ་ཐམས་ཅད་བསྡུས་པའི་ཕྱིར་དེ་སྐད་བརྗོད་པར་ཟད་ཀྱི་།
 संगृहीतं भवत्यस्मिंस्त्वर्थे प्रत्यशुभतै वाभिप्रेता ।	དོན་གྱི་སྐབས་འདིར་ནི་མི་གཙང་བའི་མི་སྡུག་པ་དེ་ཉིད་ལས་དགོངས་པ་ཡིན་ཏེ་།
