 (वैद्य २५८)	༄༣༡༤བ་། །རྒྱ་གར་སྐད་དུ་།
 ध्यानपारमितासांकथ्यं कुर्वन्ति ।	བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་གཏན་བྱེད་།
 प्रज्ञापारमितासांकथ्यं कुर्वन्ति ।	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་གཏམ་བྱེད་དེ་།
 एवं षट्पारमितासांकथ्यं कृत्वा स्वकस्वकानि चंक्रमणानि चंक्रमन्ति ।	དེ་ལྟར་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་གི་གཏམ་བྱས་༄༣༥༩བ་ནས༏་བདག་བདག་གི་འཆག་སར་འཆག་སྟེ་། འཆག་ས་ཁ་ཅིག་ནི་གསེར་གྱི་རིའོ་༎
 केचित्सुवर्णमयाश्चंक्रमाः ।	འཆག་ས་ཁ་ཅིག་ནི་དངུལ་གྱི་རིའོ་༎ འཆག་ས་དེ་དག་གི་ཁོར་ར་ཁོར་ཡུག་ན་དཔག་བསམ་གྱི་ཤིང་སྡོང་པོ་ནི་དམར་པོ་། ལོ་མ་ནི་གསེར་དང་དངུལ་ལས་བྱས་པ་། ལྷའི་རྒྱན་རབ་ཏུ་འཕྱང་བ་། ཅོད་པན་དང་། རྣ་ཆ་དང་། ཕྲེང་བའི་ཆུན་པོ་རབ་ཏུ་འཕྱང་བ་།
 तेषु चंक्रमेषु सामन्तकेषु कल्पवृक्षा लोहितदण्डाः सौवर्णरूप्यपत्रा दिव्यालंकारप्रलम्बिताः मौलिकुण्डलस्रग्दामप्रलम्बिता हारार्धहारप्रलम्बिता रत्नहारप्रलम्बिताः ।	དཔུང་རྒྱན་རབ་ཏུ་འཕྱང་བ༏་རྐང་པའི་གདུ་བུ་རབ་ཏུ་འཕྱང་བ་། སེ་མོ་ངོ་དང་། སེ་མོ་དོ་ཕྱེད་པ་རབ་ཏུ་འཕྱང་བ་། རིན་པོ་ཆེའི་སེ་མོ་དོ་རབ་ཏུ་འཕྱང་བ་དག་ཡོད་དེ་།
 ते च कल्पवृक्षास्तस्मिंश्चंक्रमे कूटागारवत्संस्थिताः, कूटागारसदृशेषु (वैद्य २९२)	འཆགས་དེ་ན་ཤིང་དཔག་བསམ་དེ་དག་ཁང་པ་བརྩེགས་མ་ལྟ་བུར་འདུག་སྟེ་།
 तेषु चंक्रमेषु किन्नराश्चंक्रमन्ति ।	འཆག་ས་དེ་ན་མི་འམ་ཅི་དག་འཆག་གོ་།
 चंक्रम्यमाणाः सांसारिकं सत्यमनुविचिन्तयन्ति - अहो दुःखम् ।	འཆག་པའི་ཚེ་འཁོར་བ་ལ་སྐྱོ་བའི་རྗེས་སུ་སེམས་ཏེ་།
 जातिर्दुःखम् ।	ཀྱེ་མའོ་སྡུག་བསྔལ་ལོ་༎
 अहो दुःखम् ।	ཀྱེ་མའོ་སྡུག་བསྔལ་ལོ་༎
 जरामरणदुःखम् ।	འཆི་བ་སྡུག་བསྔལ་ལོ་༎
 अहो दुःखम् ।	ཀྱེ་མའོ་སྡུག་བསྔལ་ལོ་༎
 तदपि दारिद्र्यदुःखम् ।	དབུལ་བ་དེའང་སྡུག་བསྔལ་ལོ་༎ ཀྱེ་མའོ་སྡུག་བསྔལ་ལོ་༎
 इष्टप्रियवियोगाप्रियावियोगदुःखम् । तदपि कष्टतरं दुःखम् । ये चावीचावुपपन्ना रौरवोपपन्नाः, कालसूत्रोपपन्नाः,	འདོད་ཅིང་མཛའ་བ་དང་བྲལ་བ་དང་། མི་འདོད་ཅིང་མི་མཛའ་བ་དང་ཕྲད་པ་དེ་ཤིན་ཏུ་མི་ཟད་པར་སྡུག་བསྔལ་ལོ་༎
 हाहवे महानरके उपपन्नाः, प्रतापने नरके उपपन्नाः, अग्निघटेषुपपन्नाः, वज्रशैलेषुपपन्नाः, प्रेतनगरोपपन्नाः, तदेषां सर्वसत्त्वानां दुःखतरम् ।	ཐིག་ནག་པོ་གདབ་པར་སྐྱེས་པ་དང་། འོ་དོད་འབོད་པར་སྐྱེས་པ་དང་། ཧ་ཧ་ཞེས་ཟེར་བའི་སེམས་ཅན་དམྱལ་བ་ཆེན་པོར་སྐྱེས་པ་དང་། མིའི་རྫ་མར་སྐྱེས་པ་དང་། རྡོ་རྗེའི་རི་ལ་སྐྱེས་པ་དང་། ཡི་དབ༹གས་ཀྱི་གྲོང་ཁྱེར་དུ་སྐྱེས་པའི་སེམས་ཅན་དེ་དག་ཤིན་ཏུ་སྡུག་བསྔལ་ལོ་༎
 एवं च ते किन्नराश्चित्तेन चिन्तयन्ति ।	ཞེས་དེ་ལྟར་མི་འམ་ཅི་དེ་དག་ལུས་ལ་སེམས་སོ་༎ བསམས་༄༣༦༠ཨ་༌༎
 चिन्तयित्वा नैर्वाणिकीं भूमीं चिन्तयन्ति ।	ནས་མྱ་ངན་ལས་འདའ་བའི་དབྱིངས་ལ་སེམས་ཏེ་།
 एवमेव कुलपुत्र किन्नरा धर्माभिरताः सततकालमवलोकितेश्वरस्य नामनुस्मरन्ति । यदा ते नामानुस्मरन्ति,	རིགས་ཀྱི་བུ་། དེ་ལྟར་མི་འམ་ཅི་ཆོས་ལ་མངོན་པར་དགའ་བ་དག་རྟག་ཏུ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོའི་མིང་གི་རྗེས་སུ་དྲན་པར་བྱེད་དེ་།
 तदा तेषां सर्वोपकरणैरुपस्थिता भवन्ति ।	དེའི་ཚེ་དེ་དག་ལ་ཡོ་བྱད་ཐམས་ཅད་ཀྱིས་བསྙེན་བཀུར་བྱེད་དོ་༎
 एवं दुर्लभः कुलपुत्र अवलोकितेश्वरो बोधिसत्त्वो महासत्त्वः सर्वसत्त्वानां मातापितृभूतः सर्वसत्त्वेष्वभयंददः ।	རིགས་ཀྱི་བུ་། དེ་ལྟ་བས་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་ནི་དཀོན་པའོ་༎ སེམས་ཅན་རྣམས་ཀྱི་ཕ་དང་མར་གྱུར་པའོ་༎ སེམས་ཅན་ཐམས་ཅད་ལ་མི་འཇིགས་པ་སྦྱིན་པར་བྱེད་པའོ་༎
 सर्वसत्त्वेषु मार्गोपदर्शकः ।	སེམས་ཅན་ཐམས་ཅད་ལ་ལམ་སྟོན་པར་བྱེད་པའོ་༎
 सर्वसत्त्वेषु कल्याणमित्रः ।	སེམས་ཅན་ཐམས་ཅད་ལ་དགེ་བའི་བཤེས་གཉེན་དུ་གྱུར་པ་སྟེ་།
 एवं कुलपुत्र अवलोकितेश्वरो बोधिसत्त्वो महासत्त्वः ।	རིགས་ཀྱི་བུ་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོ་ནི་དེ་ལྟ་བུའོ་༎
 दुर्लभं कुलपुत्र तस्य नामग्रहणम् ।	དེའི་མིང་འཛིན་པའང་དཀོན་ཏེ་།
 ये च तस्य षडक्षरीमहाविद्यानामानुस्मरन्ति, तदा तेषु रोमविवरेषु जायन्ते ।	དེ་དག་དེའི་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་མིང་གི་རྗེས་སུ་དྲན་ན་དེའི་ཚེ་བ་སྤུའི་ཁུང་བུ་དེ་དག་ཏུ་སྐྱེའོ་༎
 न च पुनरेव संसारे संसरन्ति ।	སླར་འཁོར་བར་མི་འཁོར་རོ་༎
 रोमविवराद्रोमविवरमुपसंक्रामन्ति ।	བ་སྤུའི་ཁུང་བུ་ནས་བ་སྤུའི་ཁུང་བུར་འགྲོའོ་༎
 तेषां तेषु रोमविवरेषु तावत्तिष्ठन्ति यावन्नैर्वाणिकीं भूमिमन्वेषन्ते ॥ इति रोमविवरवर्णनं नाम द्वितीयं प्रकरणम् ॥ स्तर्त् क्व्यु २,३: षडक्षरीमहाविद्यामाहात्म्यवर्णनं तृतीयं प्रकरणम् ।	བ་སྤུའི་ཁུང་བུ་དེ་དག་ནའང་མྱ་ངན་ལས་འདའ་བའི་ས་ཚོལ་བའི་བར་དུ་གནས་པར་འགྱུར་རོ་༎ 
 अथ सर्वनीवरणविष्कभी भगवन्तमेतदवोचत् - कुतो भगवन् षडक्षरी महाविद्या प्राप्यते?	དེ་ནས་བཅོམ་ལྡན་འདས་ལ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་འདི་སྐད་ཅེས་གསོལ་རོ་༎ ཏོ་༎ བཅོམ་ལྡན་འདས་ཡི་གེ་༄༣༦༠བ་དྲུག་པའི་རིག་སྔགས་ག་ལས་བཙལ་བར་བགྱི་།
 भगवानाह - दुर्लभा कुलपुत्र सा षडक्षरी महाविद्या । न च तथागता जानन्ति प्रागेव बोधिसत्त्वभूताः ।	བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། རིགས་ཀྱི་བུ་། ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་ནི་དེ་བཞིན་གཤེགས་པས་ཀྱང་མི་མཁྱེན་ན་བྱང་ཆུབ་སེམས་དཔས་ལྟ་ཅི་སྨོས་།
 अथ सर्वनीवरणविष्कम्भी भगवन्तमेतदवोचत् - यद्भगवन् तथागता अर्हन्तः सम्यक्संबुद्धा न जानन्ति?	དེ་ནས་བཅོམ་ལྡན་འདས་ལ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་དག་གིས་ཀྱང་མི་མཁྱེན་ཏམ་། བཀའ་སྩལ་པ་།
 भगवानाह - कुलपुत्र सा षडक्षरी महाविद्या त्ववलोकितेश्वरस्य परमहृदयम् ।	རིགས་ཀྱི་བུ་། ཡི་གེ་དྲུག་པའི་རིག་སྔགས་དེ་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་སྙིང་པོ་དམ་པའོ་༎
 यश्च परमहृदयं जानाति स मोक्षं जानाति ।	གང་དག་སྙིང་པོ་དམ་པ་ཤེས་པ་དེ་དག་ནི་ཐར་པ་ཤེས་པའོ་༎
 अथ सर्वनीवरणविष्कम्भी भगवन्तमेतदवोचत् - अस्ति भगवन् केचित्सत्त्वा ये षडक्षरीं महाविद्यां जानन्ति?	དེ་ནས་བཅོམ་ལྡན་འདས་ལ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་། སེམས་ཅན་འགའ་ལ་ཡང་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་འཚལ་བ་མ་མཆིས་སམ་།
 भगवानाह - न कश्चिज्जानीते कुलपुत्र ।	བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་། རིགས་ཀྱི་བུ་།
 षडक्षरी महाविद्या राज्ञी ।	ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་ནི་སུས་ཀྱང་མི་ཤེས་ཏེ་། འདི་ནི་རྣལ་འབྱོར་དཔག་ཏུ་མེད་པའི་ཕྱིར་བསྒྲུབ་དཀའ་བའོ་༎
 एषा दुरासदा अप्रमेया योगिनस्तथागता जानन्ति प्रागेव बोधिसत्त्वभूताः ।	དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱང་མི་མཁྱེན་ན་བྱང་ཆུབ་སེམས་དཔར་གྱུར་པས་ལྟ་ཅི་སྨོས་།
 अस्याः कुलपुत्र षडक्षरीमहाविद्यायाः कारणेन सर्वे तथागताः षोडशकल्याणसंख्येयाः परिभ्रमिताः प्रागेव बोधिसत्त्वभूताः कुतो जानन्ति?	རིགས་ཀྱི་བུ་། ཡི་གེ་དྲུག་པའི་རིག་སྔགས་འདིའི་ཕྱིར་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱང་བསྐལ་པ་བཅུ་༄༣༦༡ཨ་༌༎
 अयं स परमहृदयः अवलोकितेश्वरस्य ।	དྲུག་ཏུ་ཀུན་ཏུ་གཤེགས་ནས་བྱང་ཆུབ་སེམས་དཔར་གྱུར་པ་ལྟ་ཅི་སྨོས་ཏེ་ག་ལ་ཞིག་ཤེས་། འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོའི་སྙིང་པོ་དམ་། པའོ་༎ 
 यो ऽप्ययं परिभ्रमति जगन्मण्डले, कश्चिज्जानीते षडक्षरीं महाविद्याम् ।	འགྲོ་བའི་དཀྱིལ་འཁོར་ན་ཡོངས་སུ་འཁྱམ་ཡང་སུས་ཀྱང་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་སུས་ཀྱང་མི་ཤེས་སོ་༎
 पुण्यवन्तस्ते सत्त्वा ये षडक्षरीं महाविद्यां सततपरिग्रहं जपाभियुक्ता भवन्ति ।	གང་ཡང་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་འདི་རྟག་ཏུ་འཛིན་ཅིང་ཟློས་པ་ལ་བརྩོན་པའི་སེམས་ཅན་དེ་དག་ནི་བསོད་ནམས་དང་ལྡན་པ་ཡིན་ནོ་༎ 
 तस्या जपकाले तु नवनवतिगङ्गानदीवालुकोपमास्तथागताः संनिपतन्ति,	དེ་དག་ཟློས་པར་བྱེད་པའི་ཚེ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་གངྒའའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཕྲག་དགུ་བཅུ་རྩ་དགུ་འདུ་བར་འགྱུར་རོ་ཡིན་ནོ་༎ 
 परमाणुरजोपमा बोधिसत्त्वाः संनिपतन्ति,	༎ བྱང་ཆུབ་སེམས་དཔའ་རྡུལ་ཕྲ་བ་དང་མཉམ་པ་དག་འདུ་བར་འགྱུར་རོ་༎
 षट्पारमिता द्वारस्था भवन्ति ।	ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་སྒོ་ན་གནས་པར་འགྱུར་རོ་༎
 अन्ये च द्वात्रिंशद्देवनिकायाः देवपुत्राः संनिपतिताः ।	གཞན་ཡང་ལྷའི་སྡེ་སུམ་ཅུ་རྩ་གཉིས་ཀྱི་ལྷའི་བུ་དག་འདུ་བར་འགྱུར་རོ་༎
 चत्त्वारश्च महाराजानश्चतस्रो दिशो रक्षन्ति ।	རྒྱལ་པོ་ཆེན་པོ་བཞི་པོ་དག་ཀྱང་ཕྱོགས་བཞི་སྲུང་བར་འགྱུར་རོ་༎
 सागरश्च नागराजः । अनवतप्तश्च नागराजः । तक्षकश्च नागराजः ।	ཀླུའི་རྒྱལ་པོ་རྒྱ་མཚོ་མཆིང་རྣམ་དང་། ཀླུའི་རྒྱལ་པོ་མ་དྲོས་པ་དང་། ཀླུའི་རྒྱལ་པོ་འཇོག་པོ་ལ་སོགས་ཏེ་།
 वासुकिर्नागराजः - एवंप्रमुखान्यनेकानि नागराजकोटीनियुतशतसहस्राणि धरणीं परिरक्षन्ति ।	ཀླུ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དུ་མས་ཡོངས་སུ་སྲུང་བར་བྱེད་དོ་༎
 अन्ये च भौमा यक्षाः । अन्ये चावकाशं रक्षन्ति ।	གཞན་ཡང་ས་བླའི་གནོད་སྦྱིན་དག་ནི་བླ་གབ་མེད་པར་སྲུང་བར་བྱེད་དོ་༎ རིགས་ཀྱི་བུ་།
 तस्य कुलपुत्रस्य एकैकरोमविवरे (वैद्य २९३) तथागतकोट्यो विश्रमन्ति,	དེའི་བ་སྦུའི་ཁུང་བུ་རེ་རེ་ལའང་དེ་བཞིན་གཤེགས་པ་བྱེ་བ་དག་བཞུགས་སོ་༎
 विश्रमित्वा साधुकारमनुप्रयन्ति - साधु साधु कुलपुत्र, यस्त्वमीदृशं चिन्तामणिरत्नलब्धलाभो ऽसि । विमोक्षितास्ते सप्तकुलवंशा जातिपरंपरया ।	བཞུགས་༄༣༦༡བ་ནས་རིགས་ཀྱི་བུ་ཁྱོད་འདི་འདྲ་བའི་ཡིད་བཞིན་གྱི་ནོར་བུ་རྙེད་པར་བྱ་བ་ཐོབ་པར་གྱུར་ཅིང་ཁྱོད་ཀྱི་རུས་ཀྱིས་རིགས་བདུན་བརྒྱུད་དུ་ཐོབ་པར་བྱས་པ་ལེགས་སོ་༎ ལེགས་སོ་༎
 ये च तव कुलपुत्र कुक्षिगताः प्राणिनः, सर्वे ते ऽवैवर्तिका बोधिसत्त्वा भविष्यन्ति ।	རིགས་ཀྱི་བུ་ཁྱོད་ཀྱི་ལྟོ་ན་སྲོག་ཆགས་གནས་པ་དེ་ཐམས་ཅད་ཀྱང་བྱང་ཆུབ་སེམས་དཔའ་ཕྱིར་མི་ལྡོག་པར་འགྱུར་ཏེ་ལེགས་སོ་ཞེས་བྱ་བ་སྦྱིན་པར་མཛད་དོ་༎
 यः कश्चिदिमां धारयेत् षडक्षरीं महाविद्यां कायगतां कण्ठगतां वा, स कुलपुत्र वज्रकायशरीर इति वेदितव्यः, धातुस्तूप इति वेदितव्यः,	ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་འདི་ལ་ལ་ཞིག་གི་ལུས་ལ་འཆང་ན་རིགས་ཀྱི་བུ་དེའི་ལུས་ནི་རྡོ་རྗེའི་ལུས་སུ་རིག་པར་བྱའོ་༎ རིང་བསྲེལ་གྱི་མཆོད་རྟེན་དུ་རིག་པར་བྱའོ་༎
 तथागतज्ञानकोटिरिति वेदितव्यः ।	དེ་བཞིན་གཤེགས་པའི་ཡེ་ཤེས་བྱེ་བར་རིག་པར་བྱའོ་༎
 यः कश्चित्कुलपुत्रो वा कुलदुहिता वा इमां षडक्षरीं महाविद्यां जपन्ति सो ऽक्षयप्रतिभानो भवति ।	རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་ལ་ལ་ཞིག་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་འདི་ཟློས་པ་བྱེད་ན་དེ་ནི་སྤོབས་པ་མི་ཟད་པར་འགྱུར་རོ་༎ 
 ज्ञानराशिविशुद्धो भवति ।	ཡེ་ཤེས་ཀྱི་ཕུང་པོ་རྣམ་པར་དག་པར་འགྱུར་རོ་༎
 महाकरुणया समन्वागतो भवति ।	བྱམས་པ་ཆེན་པོ་དང་། སྙིང་རྗེ་ཆེན་པོ་དང་ལྡན་པར་འགྱུར་རོ་༎
 स दिने दिने षट्पारमिताः परिपूरयति ।	དེ་ཉི་མ་རེ་རེ་ཞིང་ཡང་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ཡོངས་སུ་རྫོགས་པར་འགྱུར་རོ་༎
 विद्याधरचक्रवर्त्यभिषेकं प्रतिलभते ।	དེ་རིག་འཛིན་གྱི་འཁོར་ལོས་བསྒྱུར་བའི་དབང་ཐོབ་པར་འགྱུར་རོ་༎
 यस्य कस्यचिदुच्छवस्योच्छ्वासप्रश्वासं ददाति मैत्र्या वा द्वेषेण वा,	ལ་ལ་ཞིག་ལ་དབུགས་ཕྱིར་འབྱུང་བ་དང་། ནང་དུ་རྔུབ་པར་བྱེད་ན་བྱམས་པས་ཀྱང་རུང་། ཞེ་སྡང་བས་ཀྱང་རུང་སྟེ་།
 सर्वे ते ऽवैवर्तिकाधिसत्त्वा भवन्ति,	དེ་དག་ཐམས་ཅད་བྱང་ཆུབ་སེམས་དཔའ་ཕྱིར་མི་ལྡོག་པར་འགྱུར་རོ་༎
 क्षिप्रं चानुत्तरां सम्यक्संबोधिमभिसंबुध्यन्ते ।	བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱང་མྱུར་དུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་༄༣༦༢ཨ་༌༎ འགྱུར་རོ་༎
 ये केचिद्वस्त्रस्पर्शनेनापि स्पृशन्ति, सर्वे ते चरमभविका बोधिसत्त्वा भवेयुः ।	ལ་ལ་ཞིག་ལག་གིས་རེག་པས་ཀྱང་རེག་པར་བྱེད་ན་དེ་དག་ཐམས་ཅད་བྱང་ཆུབ་སེམས་དཔའ་སྲིད་པ་ཐ་མ་པར་འགྱུར་རོ་༎
 दर्शनमात्रेण स्त्री वा पुरुषो वा दारिका वा मृगपक्षिणो गोमहिषगर्दभादयश्च चक्षुर्दर्शनेनापि पश्यन्ति, सर्वे ते चरमभविका बोधिसत्त्वा भवेयुः,	བུད་མེད་དང་། སྐྱེས་པ་དང་། ཁྱེའུ་དང་། བུ་མོ་དག་གིས་མཐོང་བ་ཙམ་དང་། རི་དབ༹གས་དང་། བྱ་དང་། བ་ལང་དང་། བོང་བུ་ལ་སོགས་པས་ཀྱང་མཐོང་ན་དེ་དག་ཐམས་ཅད་བྱང་ཆུབ་སེམས་དཔའ་སྲིད་པ་ཐ་མ་པར་འགྱུར་རོ་༎ 
 जातिजराव्याधिमरणदुःखप्रियविप्रयोगविहीणा भवेयुः ।	སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མཛའ་བ་དང་བྲལ་བའི་སྡུག་བསྔལ་མེད་པར་འགྱུར་རོ་༎
 अचिन्त्या योगिनश्च भवेयुः ।	རྣལ་འབྱོར་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ལྡན་པར་འགྱུར་རོ་༎
 एवं तु षडक्षरीं महाविद्यां जपमानस्य संचोदनो भवति ॥	དེ་ལྟར་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་འདི་ཟློས་པར་བྱེད་ན་བསྐུལ་བར་འགྱུར་རོ་༎
 अथ सर्वनीवरणविष्कम्भी भगवन्तमेतदवोचत् - कथं भगवन् लभेयमहं षडक्षरीं महाविद्याम्? सो ऽचिन्त्यो योगानां चाप्रमेयध्यानानां च अपरिस्थितश्चानुत्तरायां सम्यक्संबोधौ, निर्वाणस्योपदर्शकः,	དེ་ནས་བཅོམ་ལྡན་འདས་ལ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ བཅོམ་ལྡན་འདས་། ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་རྣལ་འབྱོར་བསམ་གྱིས་མི་ཁྱབ་པ་དང་བསམ་གཏན་དཔག་ཏུ་མ་མཆིས་པ་ཟིལ་གྱིས་གནོན་པར་བགྱིད་པ་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མྱ་ངན་ལས་འདའ་བ་སྟོན་པར་བགྱིད་པ་། 
 मोक्षस्य प्रवेशनम्, रागद्वेषस्य व्युपशमनम्,	ཐར་པར་འཇུག་པར་བགྱིད་པ་།
 धर्मराजस्य च परिपूरणम्,	ཆོས་ཀྱི་མཛོད་ཡོངས་སུ་གང་བར་བགྱིད་པ་། འཁོར་བ་རྩ་བ་ནས་འབྱིན་པར་བགྱིད་པ་།
 उन्मूलनं च संसारस्य पञ्चगतिकस्य,	འགྲོ་བ་ལྔ་སྐེམ་པར་བགྱིད་པ་།
 संशोषणं च नारकाणां क्लेशानाम्,	སེམས་ཅན་དམྱལ་བ་དང་ཉོན་མོངས་པ་རྣམས་འཇོམས་པར་བགྱིད་པ་།
 समुद्धातनमुत्तारणं च तिर्यग्योनिगतानाम्,	བྱོལ་༄༣༦༢བ་སོང་གི་སྐྱེ་གནས་སུ་གཏོགས་པ་རྣམས་སྒྲོལ་བར་བགྱིད་པ་།
 आस्वादो धर्माणां च परिपूरणम्,	ཆོས་ཀྱི་རོ་མྱོང་བར་བགྱིད་པ་།
 सर्वज्ञज्ञानस्य अक्षयं निर्देशं श्रोतुमिच्छामि ।	ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་བཤད་པ་བསམ་འཚལ་བ་བདག་གིས་ཇི་ལྟར་ཐོབ་པར་བགྱི་། བཅོམ་ལྡན་འདས་།
 भगवन् यो मे षडक्षरीं महाविद्यामनुप्रयच्छति, तस्य चतुर्द्वीपान् सप्तरत्नपरिपूर्णान्निर्यातयितुम् । यदि भगवन् लिख्यमानायापि भूर्जं न संविद्यते, न मसिः,	གང་བདག་ལ་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་སྩོལ་བ་དེ་ལ་ཛམབུའི་གླིང་རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་ཡོངས་སུ་བཀང་སྟེ་དབུལ་བར་འཚལ་ལོ་༎ བཅོམ་ལྡན་འདས་།
 न च करमम् । मदीयेन शोणितेन मसिं कुर्यात्,	གལ་ཏེ་བྲིར་གྲོ་ག་དང་སྨྱུག་གུ་མ་མཆིས་ན་བདག་གི་ཁྲག་ལས་སྣག་ཚར་བགྱིས་༎
 चर्ममुत्पाट्य भूर्जं कुर्यात्,	པགས་པ་བཤུས་ཏེ་གྲོ་གར་བགྱིས་།
 अस्थिं भङ्क्तवा च करमं कुर्यात्,	རུས་པ་བཅོམ་སྟེ་སྨྱུག་གུར་བགྱིས་ཀྱང་། བཅོམ་ལྡན་འདས་།
 तदापि भगवन् मम नास्ति खेदं शरीरस्य ।	བདག་གི་ལུས་ལ་སྐྱོ་བ་མ་མཆིས་ཏེ་།
 स च मे मातापितृभूतो भवेत् गुरूणामपि गुरुश्च ॥	དེ་ནི་ཕ་མ་དང་། བླ་མའི་ཡང་བླ་མར་འགྱུར་རོ་༎
 अथ भगवान् सर्वनीवरणविष्कम्भिणं बोधिसत्त्वमेतदवोचत् - स्मराम्यहं कुलपुत्र अस्याः षडक्षरिमहाविद्यायाः कारणेन परमाणुरजोपमान् लोकधातून् परिभ्रमितः ।	དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ་༎ རིགས་ཀྱི་བུ་། ཡི་གེ་དྲུག་པའི་རིག་སྔགས་འདིའི་ཕྱིར་འཇིག་རྟེན་གྱི་ཁམས་རྡུལ་ཕྲ་རབ་དང་མཉམ་པའི་འཇིག་རྟེན་གྱི་ཁམས་སུ་སོང་བར་ང་དྲན་ཏེ་།
 अनेकानि तथागतकोटिनियुतशतसहस्राणि मया पर्युपासितानि । न च तेषां तथागतानां सकाशात्सचालंबापि (?) श्रुता ।	དེ་བཞིན་གཤེགས་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དུ་མ་ལ་བསྙེན་བཀུར་བྱས་པས་ཀྱང་ངས་དེ་བཞིན་གཤེགས་པ་དེ་དག་ལས་མ་ཐོབ་མ་ཐོས་ནས་། དེའི་ཚེ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་རྐང་བར་ལྡན་པ་།
