	@1b # // rnal 'byor spyod pa'i sa las nyan thos kyi sa /bam po dang po / dkon mchog gsum la phyag 'tshal lo // nyan thos kyis thams cad kyi bsdus pa'i [dd] sdom gyi tshigs su bcad pa ni / rigs dang gang zag rnams dang ni // nges par sbyor dang 'jig rten pa // 'jig rten 'das pa 'di la ni // mdor na sa ni 'di dag go // sdom ni / rigs dang 'jug dang nges 'byung ba'i // ming du byas pa'i sa gsum mo // de dag rnams ni mdor bsdu na //	10.0
yA ca bahirDA upAdAya aSuBa tA iyam ucyate pratyaSuBa tA	nang la brten pa'i mi sdug pa nyid gang yin pa dang / phyi rol la brten pa'i mi sdug pa nyid gang yin pa de ni mi gtsang ba'i mi sdug pa nyid ces bya'o //	87.62401244778731
tatra duHKa aSuBa tA katamA	de la sdug bsngal gyi mi sdug pa nyid gang zhe na /	95.91931458080516
yat duHKa vedanIyam sparSam pratItya utpadyate kAyika cEtasikam asAtam vedayitam vedanA Agata miyam ucyate	sdug bsngal gyi tshor ba 'byung bar 'gyur ba'i rig pa la brten te byung ba'i tshor ba'i rnam pa lus dang sems kyi tshor bas sdug bsngal ba gang yin pa ste /	79.66498121374408
duHKa aSuBa tA	de ni sdug bsngal gyi mi sdug pa nyid ces bya'o //	87.00776748657226
tatra avara aSuBa tA katamA	de la ngan pa'i mi sdug pa nyid gang zhe na /	92.0874297618866
yat sarva nihInam vastu	thams cad shin tu dman pa'i gzhi dang / thams cad shin tu dman pa'i khams gang yin pa ste /	72.84668549428585
sarva nihInaH DAtuH tat yaTA kAmaDAtuH yasmAt punar hInataraH ca avarataraH ca	'di lta ste / 'dod pa'i khams lta bu ste /	51.49410980169489
pratikruzwataraH ca asO DAtuH na asti	de bas kyang shing tu dman pa dang / shin tu ngan pa dang / shin tu tha chad yin pa'i khams gzhan med pas /	70.66833856339615
iyam ucyate avara aSuBa tA	de ni ngan pa'i mi sdug pa nyid ces bya'o //	88.78685227307408
ApekzikI aSuBa tA katamA	de la ltos pa'i mi sdug pa nyid gang zhe na /	83.74895389874776
tat yaTA tat ekatyam vastu SuBam api sat anyat SuBataram apekzya aSuBataH KyAti tat yaTA	'di lta ste / de'i dngos po 'ga' zhig sdug pa yin yang de las gzhan pa'i shin tu sdug pa dag la ltos na mi sdug pa nyid du snang ste ; 'di ltar gzugs med pa dag la ltos nas /	83.18547676689074
ArUpya anapekzya rUpa DAtuH aSuBataH KyAti satkAya niroDa nirvANam apekzya yAvat Bava agram aSuBaH ca BaH iti saMKyAm gacCati	gzugs kyi khams mi sdug pa nyid du snang ba dang / 'jig tshogs 'gog pa'i mya ngan las 'das pa la ltos na srid pa'i rtse mo man chad kyang mi sdug pa nyid kyi grangs su 'gro ba dang / de lta bu dang mthun pa dag ni ltos pa'i mi sdug pa nyid ces bya'o //	78.7432588657434
iyam evam BAgIya ApekzikI aSuBa tA	de la nyon mongs pa'i mi sdug pa nyid gang zhe na /	75.55823262532552
trEDAtukA vacarANi sarvANi saMyojana banDanAni anuSaya upakleSa aSuBa tA iti ucyate SA aSuBatA iti ucyate	khams gsum na spyod pa'i kun tu sbyor ba dang / 'ching ba dang / bag la nyal dang / nya ba'i nyon mongs pa dang / kun nas dkris pa thams cad du 'gro ba dag ste / de ni nyon mongs pa'i mi sdug pa nyid ces bya'o //	85.77679145158234
tatra praBaMgura aSuBa tA katamA	de @80a * // la rab tu 'jigs pa'i mi sdug ba nyid gang zhe na /	89.31863958116561
yA paMcAnAm upAdAna skanDAnAm anitya tA aDruvAn ASvAsika tA vipariNAma DarmatA iti iyam aSuBa tA rAga caritasya viSudDaye	nya bar len pa'i phung po lnga dag gi mi rtag pa nyid dang / mi brtan pa nyid dang / yid brtan du mi rung ba nyid dang / rnam par 'gyur ba'i chos nyid gang yin pa de ni rab tu 'jig pa'i mi sdug pa nyid ces bya ste / mi sdug pa de dag ni 'dod chags spyad pa'i rnam par sbyor ba'i dmigs pa yin bya ste / no //	78.8704018897053
Alambanam tatra rAgaH tat yaTA aDyAtmam kAmezu SBsh kAma CandaH cCandaH kAmarAgaH bahirDA kAmezu mETuna CandaH cCandaH mETuna rAgaH vizaya CandaH cCandaH	de la 'dod chags gang zhe na /	10.0
vizaya rAgaH	'dod chags ni rnam pa lnga ste / 'di lta ste /	78.80722608773605
rUpa CandaH cCando rUpa rAgaH satkAya CacCa ndaH sat kAya rAgaH ca iti ayam paQcaviDaH rAgaH	nang gi 'dod pa rnams kyis 'dod pa la 'dun pa 'dod pa'i 'dod chags dang / phyi rol gyi 'dod pa rnams kyis 'khrig pa la 'dun pa 'khrig pa'i 'dod chags dang / yul la 'dun pa yul gyi 'dod chags dang / gzugs la 'dun pa gzugs kyi 'dod chags dang / 'jig tshogs la 'dun pa 'jig tshogs kyi 'dod chags so //	69.90117885374964
tasya paQcaviDasya rAgasya prahANAya prativinodanAya asamudAcArAya	'dod chags rnam pa lnga po de dag spang ba dang / bsal ba dang / kun mi 'byung bar bya ba'i phyir /	90.25574188778302
zaxviDAH aSuBa tA Alambanam	mi sdug pa rnam pa drug pa dmigs te /	76.03189128798408
tatra aDyAtmam upAdAya	de la nang la brten pa'i mi gtsang ba'i mi sdug pa nyid la dmigs pas ni /	83.9755759761758
pratyaSuBa tA Alambanena aDyAtmam kAmezu kAma= CandAt kAmarAgAt cittam viSoDayati	nang gi 'dod pa rnams kyi 'dod pa la 'dun pa'i 'dod pa'i 'dod chags las sems rnam par sbyong bar byed do // de la phyi rol la brten pa'i mi gtsang ba'i mi sdug pa nyid la dmigs bar byed do // pas ni / phyi rol gyi 'dod pa rnams kyis 'khrig pa la 'dun pa /	79.20868988953926
bahirDa upAdAya pratyaSuBa tA Alambanena bahirDA tEH rAgAt caturviDAt rAga pratisaMyuktAt varNa rAga saMsTAna rAga sparSa rAga upacAra rAga pratviSoDayati tatra yadA vinIlakam vA vipUyakamvA vimadrAmakamvA vyADma Atmakam vA	'khrig pa'i 'dod chags rnam pa bzhi dang ldan pa / kha dog gi 'dod chags dang / dbyibs kyi 'dod chags dang / reg pa'i 'dod chags dang / nye bar spyod pa'i 'dod chags dang ldan pa las sems rnam par sbyong bar byed de /	62.12090250912723
viKAditakam vA manasi karoti	de la gang gi tshe rnam par bsngos pa dang / rnam par rnags pa dang / rnam par 'bus gzhigs pa dang / rnam par bam pa dang / rnam par zos pa yid la byed pa de'i tshe ni /	63.34687204932102
tadA varNa rAgAt cittam viSoDayati	kha dog gi 'dod chags las sems rnam par sbyong bar byed do //	93.04218622895539
yadA punar vilohitakam vA manasi karoti	dgang gi tshe rnam par dmar ba yid la byed pa de'i tshe na /	86.71606135368347
tadA saMsTAna rAgAt cittam viSoDayati	dbyibs kyi 'dod chags las sems rnam par sbyong bar byed do //	92.30214683345108
yadA punar asTi vA SaMkalikAm vA manasi karoti tadA sparSa rAgAt cittam viSoDayati	gang gi tshe rus gong dang / keng rus dang / rus pa'i keng rus yid la byed pa de'i tshe na reg pa'i 'dod chags las sems rnam par sbyor bar byed do //	92.63777142712001
yadA vikziptakam manasikaroti tadA upacAra rAgAt cittam viSoDayati	gang gi tshe rnam @80b par 'thor ba yid la byed pa de'i tshe ni / nye bar spyod pa'i 'dod chags las sems rnam par sbyong bar byed de / de ltar na 'khrig pa'i 'dod chags las sems rnam par sbyong bar byed pa yin no // de lta bas na bcom ldan 'das kyis kyang /	79.07608923703783
ataA iva BagavatA bahirDA upAdAya pratyaSuBa tA sA catasRzu Siva paTikAsu vyavasTApitA SBsh  yA yA eva anena Siva paTikA dRzwA Bavati	phyi rol la brten pa'i mi gtsang ba'i mi sdug pa nyid gang yin pa de ni / dur khrod pa rnam pa bzhir rnam par gzhag ste / des shi nas zhag gcig lon pa'am /	76.78910569312029
eka ahamRtA vA	shi nas zhag gnyis lon pa'am /	60.91913453737895
sapta aha mRtA vA	shi nas zhag gsum lon pa'am /	72.6292789722311
kAkEH kurarEH KAdyamAnA gRDrEH SvaBiH SrRgAlEH tatra tatra imam eca va kAyam upasaMharati	shi nas zhag bdun lon pa'i bar gyi dur khrod gang dag bya rog dang / chun lag dang / bya rgod dang / khyi dang wa dag gis zos pa de mthong na /	83.7182703695627
ayam api me kAyaH evam BAvI	bdag gi lus 'di yang 'di lta bur 'gyur zhing /	84.26685735453731
evam BUta	'di lta bur gyur pa ste /	69.94051823616027
evam Darma tAm anatItaH iti	chos nyid 'di las ma 'das pa yin no snyam du / de dag dang lus 'di nyid nye bar sbyor bar byed do zhes gsungs pa de ni /	61.63327162911724
anena tAvat vinI lakam upAdAya yAvat viKAditakam AKyAtam yat punar Aha yA anena Siva paTikA dRzwA Bavati	rnam par bsngos pa dang / rnam par zos pa'i bar dag bstan to //	69.18217104094242
apagata tvac mAn sa mAMsa SoNitam vA sUpa nibadDA iti anena vilohitakam AKyAtam yat punar Aha	des pa gas pa dang / sha dang / khrag dang / chu rgyus kyi zungs dang bral ba'i dur khrod gang dag ma thong na zhes gang gsungs pa des ni rnam par dmar pa bstan to // des dur khrod kyi rus ba gang dag mthong na zhes gang gsungs pa des ni rus gong dang / keng rus dang / rus pa'i keng rus bstan to // des lag pa'i rus pa dag kyang logs shig / rkang pa'i rus pa dag kyang logs shig /	57.36640376608744
yAni eva Siva paTikA sTAnAni pRzWI vaMSaH	long bu'i rus pa dag kyang logs shig bus mo'i rus pa dag kyang logs shig la /	74.82496170837693
hanunakram dantamAlA SiraH kapAlam taTA Binna pratiBinnAni eka vArzikAni dvi vArzikAni rzikANi	rtsib logs kyi rus pa dag dang / dbung ba'i rus pa dag dang / lag ngar gyi rus pa dag dang / sgal tshigs dang / 'gram sang dang / so rgyun dang / mgo thod dag kyang so sor 'thor ba'i dur khrod gang dag mthong zhing / de bzhin du lo gcig gam / lo gnyis sam /	72.06184963468084
yAvat sapta vAziH zi kAni Ni	lo gsum mam /	54.48577847847572
SvetAni SaMKa niBAni	lo bdun gyi bar tsam lon pa'i rus pa dung ltar dkar ba'am /	54.551507392172084
kapota varNAni pAn supAMsu varNa vyatimiSrANi dRzwAni Bavanti iti anena vikziptakam AKyAtam	thi ba'i mdog 'dra bas rdul gyi phye ma dang 'dres pa dag mthong na zhes gang gsungs pa des ni rnam par 'thor ba bstan te /	79.64736607448883
evam pratyaSuBa tA AlaMbanena bahirDA pratisaMyuktena mEtrena Na	de ltar na phyi la brten pa'i mi gtsang ba'i mi sdug pa nyid la dmigs pas ni /	82.34784860344804
rAgAt cittam viSoDayati	'khrig pa'i 'dod chags las sems rnam par @81a * // sbyong bar byed do //	88.65934541490344
tatra duHKa tA aSuBa tA Alambanena avara aSuBa tA Alambanena ca vizaya pratisaMyuktAt kAmarAgAt cittam viSoDayati	de la sdug bsngal gyi mi sdug pa nyid la dmigs pa dang / ngan pa'i mi sdug pa nyid la dmigs pas ni yul la 'dun ba yul gyi 'dod chags las sems rnam par sbyong bar byed do //	93.01346233159956
tatra apekzA SuBa tA Alambanena rUpa rAgAt cittam viSoDayati	de la ltos pa'i mi sdug pa nyid la dmigs pas ni / gzugs la 'dun pa gzugs kyi 'dod chags las sems rnam par grol bar byed do //	91.38262101713562
tatra kleSa aSuBa tA Alambanena praBaMgura aSuBa tA Alambanena ca kAma Bava agram upAdAya SBsh sarvasmAt kAyam a rAgAt cittam viSoDayati	de la nyon mongs pa'i mi sdug pa nyid la dmigs pa dang / rab tu 'jig pa'i mi sdug pa nyid la dmigs pas ni srid pa'i rtse mo man chad kyi 'jig tshogs la 'dun pa'i 'jig tshogs kyi 'dod chags las sems rnam par sbyong bar byed do //	93.64032885709435
idam tAvat rAga caritasya carita viSoDanena sa Alambanam saMBavam pratyetat ucyate	de ni re zhig 'dod chags spyad pa'i spyad pa rnam par sbyong ba'i dmigs pa yin no //	85.02651247275162
sarvam sarva AkAram aSuBa tA Alambanam	dmigs pa ma sdug pa srid do cog gi thams cad rnam pa thams cad bsdus pa'i phyir de skad brjod par zad kyi /	77.84058062027898
saMgRhItam Bavati asmin= tu arTe pratyaSuBatE vA aBipretA	don gyi skabs 'dir ni mi gtsang ba'i mi sdug pa de nyid las dgongs pa yin te /	84.26450571307134
tad anyA tu aSuBa tA tad anyasya api caritasya viSudDaye  Alambanam	de las gzhan pa'i mi sdug pa rnams ni / de las gzhan pa'i spyad pa dag rnam par sbyong ba'i dmigs pa yang yin par rig par bya'o //	90.09767070837358
tatra mEtrI katamA yaH mitra pakze vA amitra pakze vA udAsIna pakze vA	de la byams pa gang zhe na / mdza' bshes kyi phyogs dang / dgra bo'i phyogs dang / tha mal pa'i phyogs la mnyam par gzhag pa'i sa pa'i phan pa'i bsam pa nye bar gzhag ste /	79.0242583731678
hita aDyASayam upasTApya mRdu maDya aDimAtrasya suKasya upasaMhArAya aDimokzaH SBsh  samAhita BUmikaH	bde ba chung du dang / 'bring dang / chen po nye bar bsgrub pa'i phyir mos pa gang yin pa'o //	80.25331774806408
tatra yoyam mitrapakzaH amitra pakzaH udAsIna pakzaH ca idam Alambanam	de la mdza' bshes kyi phyogs dang / dgra bo'i phyogs dang / tha mal pa'i phyogs gang yin pa de ni dmigs pa yin no //	90.29887003683392
tatra yaH hita aDyASayaH suKa upasaMhArAya ca aDimokzaH samAhita BUmikaH ayam AlambakaH iti yat ca Alambanam	de la mnyam par gzhag pa'i sa pa'i phan pa'i bsam pa dang / bde ba nye bar bsgrub ba'i phyir mos pa gang yin pa'o //	85.02430075672369
yaH ca AlambakaH tat ekatyam aBisaMkzipya mEtrI iti ucyate	dmigs par byed pa yin te / de ltar na dmigs pa gang yin pa de dang / dmigs par byed pa gang yin pa de dag gcig tu bsdus pa ni byams pa zhes bya'o //	82.72059631606797
tatra yat tAvat Aha mEtrI sahagatena cittena iti anena trizu pakzezu mitra pakze	de la byams pa dang ldan pa'i sems zhes gang gsungs pa de ni / re zhig phyogs gsum po mdza' bo'i phyogs dang / dgra bo'i phyogs dang / tha mal pa'i phyogs dag la phan pa'i lhag pa'i bsam pa bstan to // kho na med pa /	78.63467392415644
amitra pakze	'gran zla med pa /	61.70120771725972
udAsIna pakze hita DyASayaH AKyAtaH yat punar Aha avEreNa asampannena avyAbADena iti anena tasya eva hita aDyASayasya triviDam lakzaNam AKyAtam	gnod pa med pa zhes gang gsungs pa des na phan @81b pa'i lhag pa'i bsam pa de nyid kyi mtshan nyid rnam pa gsum bstan te /	70.14058783981602
tatra avEra tayA hita aDyASayaH sA punar avEra tAH dvAByAm padAByAm AKyAtAH	de la kho na med pas ni phan pa'i lhag pa'i bsam pa yin te / de yang tshig 'og ma gnyis po 'gran zla med pa dang / gnod pa med pa la zhes bya ba dag gis rnam par bshad do //	70.18921190405698
asamarTa tayA avyAbADa tayA ca tatra apratyanIka BAva sTAna arTena asamarTa tA	de la phas kyi dga'i dngos por gnas pa med pa'i don gyis ni 'gran zla med pa nyid yin no //	81.27675121692228
apakAra avizazwanA arTena SBsh avyAbADya tA avyAbADatA	gnod pa byed pa rnam par spyod pa med pa'i don gyis ni gnod pa med pa nyid no //	79.73856297861188
yat punar Aha	yin no //	64.68343326780531
vipulena mahat gatena pramANena iti anena mRdu maDya aDimAtrasya suKasya upasaMhAraH AKyAtaH kAma avacarasya praTama dvitIya DyAna BUmikasya vA tRtIya DyAna BUmikasya vA yat punar Aha aDimucyasyAni rvaH	yangs pa dang rgya chen por gyur pa dang / tshad med pa zhes gang gsungs pa des ni 'dod pa na spyod pa dang / bsam gtan dang po dang / gnyis pa'i sa ba dang / bsam gtan gsum pa'i sa pa'i bde ba nye bar bsgrub pa chung ngu dang / 'bring dang / chen po bstan to //	78.19993667153668
pasampadya viharati iti anena suKa upasaMhAra aDimokzaH samAhita BUmikaH AKyAtaH	mos te khyab par byas nas bsgrubs te gnas so zhes gang gsungs pa de sa ni mnyam par gzhag pa'i sa pa'i bde ba nye bar bsgrub pa'i phyir mos pa bstan te /	86.6840659300766
sa punar eza suKa upasaMhAraH hita aDyASaya parigRhItaH ADimokzikaH manaskAra anugataH aduHKa asuKite mitra pakze amitra pakze udAsIna pakze suKa kAme veditavyaH yaH tu duHKitaH vA	bde ba nye bar bsgrub pa de yang phan pa'i lhag pa'i bsam pas yongs su zin pa dang / mos pa yid la byed pa dang ldan pa dang / sdug bsngal yang ma yin bde ba yang ma yin pa'i mdza' bshes kyi phyogs dang / dgra bo'i phyogs dang / tha mal pa'i phyogs la bde bar 'dod pa yin par rig par bya'o //	87.52985539647355
aduHKitaH vA punar mitra pakzaH amitra pakzaH udAsIna pakzaH vA tatra yaH duHKitaH sa karuNAyAH Alambanam	sdug bsngal ba dang / bde bar gyur pa'i mdza' bshes kyi phyogs dang / dgra bo'i phyogs dang / tha mal pa'i phyogs gang yin pa de dag las sdug bsngal bar gyur pa gang yin pa de ni / snying rje'i dmigs pa yin no //	84.84286415399018
yaH suKitaH sa muditAyAH Alambanam iyam ucyate mEtrI	bde bar gyur ba gang yin pa de ni dga' ba'i dmigs pa yin te / de ni bsams pa zhes bya'o //	90.29493579615895
tatra vyApAda caritaH pudgalaH SBsh	de ni gang zag gnod sems spyad pa /	82.57843470573425
mEtrI BAvayan sattvezu yaH vyApAdaH tam pratanu karoti	sems can rnams la byams pa sgom par byed na / gnod sems gang yin pa de srab mor byed cing /	90.55588173700683
vyApAdAt cittam pariSoDayati	gnod sems spyad pa las sems rnam par sbyong bar byed do //	92.40640166710163
tatra IdaMpratyaya tA pratItyasamutpAdaH katamaH	de la rkyen 'di ba nyid kyi rten cing 'brel bar 'byung ba gang zhe na /	88.57176661163959
yat trizu aDvasu saMskAra mAtram Darma mAtram vastu mAtram hetu mAtram Pala mAtram yukti patitam yat u ta apekzA yuktyA	dus gsum du 'di lta ste /	10.0
kArya kAraNa yuktyA upapatti sADana yuktyA ca	ltos pa'i rigs pa dang / bya ba byed pa'i rigs pa dang / 'thad pa sgrub pa'i rigs pa dang / chos nyid kyi rigs pa'i rigs pa dang ldan pa'i 'du byed tsam dang / @82a * // chos tsam dang / dngos po tsam dang / rgyu tsam dang / 'bras bu tsam gang yin pa ste /	67.73621822666459
DarmANAm eva Darma AhAraka tvam	chos rnams kho nas chos rnams 'dren par byed pa nyid du zad kyi /	74.71215240771953
nizkAraka vedaka tvam ca	byed pa po dang / tshor ba po de nyid med pa de ni /	77.19765356870798
idam ucyate idaMpratyaya tA pratItya samutpAda Alambanam	rkyen 'di pa nyid kyi rten cing 'brel bar 'byung ba'i dmigs pa zhes bya ste /	88.32964848455019
yad Alambanam manasi kurvan moha aDikaH pudgalaH moha caritaH moham prajahAti	gang zag gti mug spyad cing / gti mug che ba dmigs pa de yid la byed na / gti mug sra ba mor byed cing /	90.13210668026355
tanUkaroti moha caritAt cittam viSoDayati	gti mug spyad pa las sems rnam par sbyong bar byed do //	89.5755831854684
SBsh tatra DAtu praBedaH katamaH	de la khams rab tu dbye ba gang zhe na /	85.67051696777344
tat yaTA zaz DAtavaH	khams drug po dag ste /	81.07149369820304
pRTivI DAtuH ap DAtuH tejaH DAtuH vAyu DAtuH AkASa DAtuH vijQAna DAtuH ca	'di lta ste / sa'i khams dang / chu'i khams dang / me'i khams dang / rlung gi khams dang / nam mkha'i khams dang / rnam par shes pa'i khams so //	93.57593304892
tatra pRTivI DAtuH dviviDaH	de la sa'i khams gang zhe na / sa'i khams ni rnam pa gnyis te /	88.74938835416522
ADyAtmikaH SBsh  bAhyaH ca	nang gi dang / phyi rol gyi'o //	83.8764796257019
tatra ADyAtmikaH yat asmin kAye aDyAtmam pratyAtmam KakKawam Karataram upAdattam	de la nang gi sa'i khams gang zhe na / nang gi so so'i lus zin pa dang / zin par gyur pa la sra ba dang / sra bar gyur pa yod pa gang yin pa'o // phyi rol gyi sa'i khams gang zhe na /	87.45378065243547
bAhyaH punar pRTivI DAtuH yat bAhyam KakKawam Kara gatam anu mu pagatam anu mupAdattam	phyi rol ma zin pa dang / ma zin par gyur pa la sra ba dang / sra bar gyur pa yod pa gang yin pa'o //	76.2292298993258
sa punar aDyAtmika pRTivI DAtuH katamaH	de la nang gi sa'i khams de yang gang zhe na /	86.6419245056484
tat yaTA keSA romANi naKA dantA rajaH malam tvac mAn samasTi snAyuH	'di lta ste /	18.461435703130864
sirA vRkkAk kam hRdayam plIhakam kloma mantrANi antra guNAH AmASayaH pakvASayaH	skra dang ; spu dang / sen mo dang / so dang / glog pa dang / dri ma dang / pags pa dang / sha dang / rus pa dang / chu rgyus dang / rtsa dang / mkhal ma dang / snying dang / mchin pa dang / glo ba dang / rgyu ma dang / gnye ma dang / pho ba dang / long ka dang / mcher pa dang / phyi sa dag ste /	64.860165127275
yakRt purIza mayam ucyate ADyAtmikaH pRTivI DAtuH	de ni nang gi sa'i khams zhes bya'o //	81.55723278146041
sa punar bAhyaH pRTivI DAtuH katamaH kAzWAni vA lozWAni vA SarkarA vA	phyi rol gyi sa'i khams de yang gang zhe na // 'di lta ste /	68.89716947234412
kaWillA vA vRkzAH vA parvata agrA vA iti vA punar anyA upi A ivaMBAgIyaH ayam ucyate SBsh	shing dang / bong ba dang / gseg ma dang / gyo mo dang / shing ljon pa dang / ri'i rtse mo dang / gzhan yang de lta bu dang mthun pa dag ste /	78.99189786996675
bAhyaH pRTivI DAtuH	de ni phyi rol gyi sa'i khams zhes bya'o //	89.86474803991096
abDAtuH katamaH	de la chu'i khams gang zhe na /	91.41331800337761
abDAtuH dviviDaH	chu'i khams kyang rnam pa gnyis te /	90.81164052751329
ADyAtmikaH bAhyaH ca	nang gi dang / phyi rol gyi'o //	89.98754596710205
tatra ADyAtmika kopDAtuHbDAtuH katamaH	de la nang gi chu'i khams gang zhe na /	85.08368052580417
yat aDyAtmam pratyAtmam snehaH sneha gatam ApaH abDAtum upagatam upAdAtum ap DAtu gatam upagatam upAdattam	nang gi so so'i lus zin pa dang / zin par gyur pa 'di la gsher ba dang / gsher bar gyur pa dang / rlan pa dang / @82b rlan par gyur pa yod pa gang yin pa ste /	76.36423472414154
tat yaTA aSru svedaH KewaH SiMGANakaH basA lasIkA majjA medaH pittam	de yang 'di lta ste /	36.088613487425306
SlezmA pUyaH SoNitam mastakam mastaka luMgam praSrAvoyasrAvaH ya	mchi ma dang / rdul dang / mchil ma dang / sna bas dang / zhag dang / chu ser dang / rkang dang / tshil dang / mkhris pa dang / bad kan dang / rnag dang / khrag dang / glad spri dang / glad rgyas dang / gcin dag ste /	70.40050115679179
mucyate ADyAtmikobDAtuH	de ni nang gi chu'i khams zhes bya'o //	84.02212023123717
bAhyobDAtuH katamaH	phyi rol gyi chu'i khams gang zhe na /	86.54078149795532
yat bAhyam ApaH apgatam abgatam snehaH sneha gatam anutam u pagatam anutam upAdattam	phyi rol ma zin pa dang / ma zin par gyur pa la gsher ba dang / gsher bar gyur pa dang / rlan pa dang / rlan par gyur pa yod pa gang yin pa ste /	75.01692924478263
tad punar utsaH vA	de yang 'di lta ste /	64.09068032673427
sarAMsi vA taxAgA SBsh vA nadyaH vA aprasravaNAni vA	rdzing phu dang / mtsho dang / lteng ka dang / chu klung dang / 'bab chu dang / gzhan yang de lta bu dang mthun pa dag ste /	66.07006043026267
iti yaH vA punar anyopi evaMBAgIyoyam ucyate bAhya ubDAtuH	de ni phyi rol gyi chu'i khams zhes bya'o //	56.58856333138399
tejaH DAtuH katamaH	de la me'i khams gang zhe na /	87.79690233866374
tejaH DAtuH dviviDaH ADyAtmikaH bAhyaH ca	me'i khams kyang rnam pa gnyis te / nang gi dang / phyi rol gyi'o //	95.70683190665189
tatra ADyAtmikaH tejaH DAtuH katamaH	de la nang gi me'i khams gang zhe na /	93.13123522306743
yat aDyAtmam pratyAtmam tejaH tejaH gatam UzmA Uzma Agatam upagatam upAdattam	nang gi so so'i lus la zin pa dang / zin par gyur pa la tsha ba dang / tsha bar gyur pa dang / dro ba dang / dro par gyur pa yod pa gang yin pa ste /	78.74667503458599
tat yaTA yat asmin kAye tejaH yena ayam kAyaH Atapyate	de yang 'di lta ste / lus 'di la me yod cing / des lus 'di gdung bar byed /	85.60291174142304
saMtapyate	kun du gdung bar byed /	82.40986593909886
paritapyate yena ca aSita pIta KAdita AsvAditam samyak suKena paripAkam gacCati	yongs su gdung bar byed pa dang / gang gis des zos pa dang / 'thungs pa dang / 'chos pa dang / myangs pa rnams legs par bde bar 'ju bar 'gyur ba dang / gang gi shas che bar gyur na /	85.58799900586737
yasya ca utsada tvAt jAritaH jAritaH iti saMKyAm gacCati	rims kyis btab po zhes bya ba'i grangs su 'gro ba gang yin pa ste /	73.60248213062255
bAhyaH tejaH DAtuH katamaH	de ni nang gi me'i khams zhes bya'o // phyi rol gyi me'i khams gang zhe na /	82.6362702675626
yat bAhyam tejaH tejaH gatam UzmAzma gatam anumu pagatam anum upAdattam	phyi rol ma zin pa dang / ma zin par gyur pa la tsha ba dang / tsha bar gyur pa dang / dro ba dang / dro bar gyur pa yod pa gang yin pa ste / de yang 'di lta ste /	75.18260514962503
SBsh  tat punar yat manuzyAH araNI sahagatakeByaH gomaya cUrNeByaH samanvezate nte	me gtsub shing thogs pa dag las lci pa'i phye ma brtsal te /	70.88749609953338
yat tu utpannam grAmam api dahati	gang byung ba na grong yang sreg par byed /	81.13550647469454
grAma pradeSam api nagaram vA nagara pradeSam vA janapadamvA janapada pradeSamvA dvIpam vA kakzamvA dAvamvA kAzWamvA tRNam vA gomayam vAdahan parEti iti yaH vA punar anyopi A ivaMBAgIyaH	grong gi nyen kor dang / grong khyer dang / grong khyer gyi nyen kor dang / ljongs dang / ljongs kyi nyen kor dang / gling dang / ldam ldum dang / nags tshal dang / shing dang / rtsa dang / lci ba dag kyang sreg par 'gyur ba dang / gzhan yang de lta bu dang mthun pa dag ste /	76.33766598525209
tatra vAyuDAtuH katamaH	de ni phyi rol gyi me'i khams zhes bya'o // de la rlung gi khams gang zhe na /	81.77767187706829
vAyuDAtuH dviviDaH	@83a * // rlung gi khams kyang rnam pa gnyis te /	86.11189087556333
ADyAtmikaH bAhyaH ca SBsh	nang gi dang / phyi rol gyi'o //	84.23376655578613
tatra ADyAtmikaH vAyuDAtuH	de la nang gi rlung gi khams gang zhe na /	93.42605112847828
yat api aDyAtmam pratyAtmam vAyuH vAyu gatam laGu tvam samudIraNa tvam upagatam upAdattam sa punar santi asmin kAye UrDvaMgamAH vAyavaH aDas gamAH vAyavaH pArSva SayA vAyavaH kukziSayAH vAyavaH pRztizWiSayA vAyavaH	nang gi so so'i lus zin pa dang / zin par gyur pa la rlung dang / rlung du gur pa dang / yang ba nyid dang / g-yo ba nyid yod pa gang yin pa ste / de yang 'di lta ste /	43.38141302160739
vAyu azWIlA vAta azWIlAH vAyavaH kzuraka pippalaka SastrakAH vAyavaH ASvAsa praSvAsAH vAyavaH aMga pratyaMga anusAriNaH vAyavaH	lus 'di nyid la gyen du 'gro ba'i rlung dang / thur du 'gro ba'i rlung dang / thad kar 'phres pa'i rlung dang / ltor 'khyil pa'i rlung dang / rgyab tu 'khyil pa'i rlung dang / rlung skran sra ba'i rlung dang / rlung skran gyi rlung dang / spu gri lta bu'i rlung dang / shing phib pa la'i lo ma lta bu'i rlung dang / mtshon cha lta bu'i rlung dang / gsud par byed pa'i rlung dang / dbugs rngub pa dang / dbugs rngub pa'i rlung dang / yan lag dang nying lag gi nang du 'jug pa'i rlung dag yod pa ste /	49.071200393945645
bAhyaH vAyuDAtuH katamaH	de ni nang gi rlung gi khams zhes bya'o // phyi rol gyi rlung gi khams gang zhe na /	79.11360382064487
